image_path,marathi_text,modi_text,sentence_id
data/synthetic/images/line_0000_v000.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v001.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v002.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v003.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v004.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v005.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v006.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v007.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v008.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v009.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v010.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v011.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v012.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v013.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v014.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
data/synthetic/images/line_0000_v015.png,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,0
